CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Descricao_Bem_Ativo;Pais;UF;Municipio;Tipo_Propriedade
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Prédios/Instalações;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Uruguai;;;Alugada
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Prédios/Instalações;Uruguai;;;Alugada
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Uruguai;;;Alugada
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Prédios/Instalações;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Uruguai;;Munhoz de Melo;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Prédios/Instalações;Uruguai;;Munhoz de Melo;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Uruguai;;Munhoz de Melo;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Prédios/Instalações;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Prédios/Instalações;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Maquinas e Equipamentos;Uruguai;;;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Brasil;SP;São Paulo;Alugada
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Brasil;RS;Camaquã;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Brasil;RS;Itaqui;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Brasil;RS;Dom Pedrito;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Brasil;RS;Rio Grande;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Brasil;MA;Itapecuru Mirim;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Brasil;SC;Navegantes;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Brasil;RJ;São Gonçalo;Própria
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Terreno;Brasil;RJ;Rio de Janeiro;Alugada
64.904.295/0001-03;2023-02-28;6;128875;CAMIL ALIMENTOS S.A.;Prédios/Instalações;Brasil;SP;São Paulo;Alugada
