CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
02.387.241/0001-60;2023-12-31;17;137808;RUMO S.A.;54144;483;1158;1218352541;65.684000;0;0.000000;1218352541;65.684000;2023-07-19
02.397.080/0001-96;2023-12-31;3;135956;ITAPEBI GERACAO DE ENERGIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-16
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-05-26
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;1267478;224697;88;807896814;33.378000;0;0.000000;807896814;33.378000;2023-03-30
02.429.144/0001-93;2023-12-31;6;137649;CPFL ENERGIA S.A.;60109;4762;1166;187732538;16.293000;0;0.000000;187732538;16.293000;2023-04-28
02.451.848/0001-62;2023-12-31;2;135880;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-05-19
02.474.103/0001-19;2023-12-31;11;136621;ENGIE BRASIL ENERGIA S.A.;277890;8191;1153;255236961;31.282000;0;0.000000;255236961;31.282000;2023-04-26
02.502.844/0001-66;2023-12-31;5;136583;RUMO MALHA PAULISTA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2019-04-30
02.509.186/0001-34;2023-12-31;1;127973;TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.;0;1;0;610000;100.000000;0;0.000000;610000;100.000000;2018-04-20
02.509.491/0001-26;2023-12-31;7;135929;CONC ECOVIAS IMIGRANTES S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-16
02.558.157/0001-62;2023-12-31;7;135834;TELEFÔNICA BRASIL S.A;1518183;246594;3173;408343528;24.709000;0;0.000000;408343528;24.709000;2024-04-11
02.560.878/0001-07;2023-12-31;2;128642;HOSPITAL ANCHIETA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
02.591.787/0001-39;2023-12-31;4;127141;CAPITALPART PARTICIPACOES S.A.;15;1;0;486;0.301000;0;0.000000;486;0.108000;2023-04-28
02.600.854/0001-34;2023-12-31;4;131159;TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2022-03-23
02.635.522/0001-95;2023-03-31;8;129807;JALLES MACHADO S.A.;16612;153;217;99892997;32.900000;0;0.000000;99892997;32.900000;2022-08-19
02.664.042/0001-52;2023-12-31;2;135883;TERMINAL GARAGEM MENEZES CORTES S.A.;1;2;0;0;0.000000;0;0.000000;0;0.000000;2013-04-16
02.682.287/0001-02;2023-12-31;5;131665;PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;0;2;0;11000;100.000000;0;0.000000;11000;100.000000;2021-04-29
02.724.983/0001-34;2023-12-31;2;132617;SANESALTO SANEAMENTO S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
02.762.113/0001-50;2023-12-31;5;133894;BRAZILIAN FINANCE E REAL ESTATE S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2021-04-29
02.762.121/0001-04;2023-12-31;9;136600;SANTOS BRASIL PARTICIPACOES S.A.;45641;207;522;855862622;99.039000;0;0.000000;855862622;99.039000;2024-04-26
02.762.124/0001-30;2023-12-31;2;136559;BETAPART PARTICIPACOES S.A.;4;0;0;1;0.000000;0;0.000000;1;0.000000;2014-04-28
02.783.423/0001-50;2023-12-31;1;128149;ALTERE SECURITIZADORA S.A.;2;0;0;36218984;100.000000;0;0.000000;36218984;100.000000;2020-04-30
02.796.775/0001-40;2023-12-31;2;136560;GAMA PARTICIPACOES S.A.;0;2;1;0;0.000000;0;0.000000;0;0.000000;2015-04-27
02.800.026/0001-40;2023-12-31;16;137698;COGNA EDUCAÇÃO S.A.;224834;859;571;1872454628;99.779000;0;0.000000;1872454628;99.779000;2023-04-28
02.846.056/0001-97;2023-12-31;10;136034;CCR S.A.;37292;175;1260;995335937;49.274000;0;0.000000;995335937;49.274000;2023-04-19
02.860.694/0001-62;2023-12-31;10;137709;T4F ENTRETENIMENTO S.A.;14555;121;1;33258852;48.686000;0;0.000000;33258852;48.686000;2022-04-29
02.916.265/0001-60;2023-12-31;10;137802;JBS S.A.;107100;784;1673;1134986472;51.169000;0;0.000000;1134986472;51.169000;2023-04-24
02.919.555/0001-67;2023-12-31;6;136161;ARTERIS S.A.;0;4;0;0;0.000000;0;0.000000;0;0.000000;2017-06-14
02.932.074/0001-91;2023-12-31;9;137158;HYPERA S.A.;41115;643;773;409310634;64.619000;0;0.000000;409310634;64.619000;2024-04-23
02.950.811/0001-89;2023-12-31;19;136543;PDG REALTY S.A. EMPREEND E PARTICIPACOES;12660;183;28;77775710;99.986000;0;0.000000;77775710;99.986000;2023-12-20
02.992.449/0001-09;2023-12-31;2;136562;PROMPT PARTICIPACOES S.A.;0;1;2;0;0.000000;0;0.000000;0;0.000000;2023-04-28
02.998.301/0001-81;2023-12-31;11;137175;RIO PARANAPANEMA ENERGIA S.A.;10242;54;191;297036;0.944000;3300250;5.242000;3597286;3.809000;2023-04-28
02.998.611/0001-04;2023-12-31;11;137825;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;339633;3016;246;27080900;10.499000;395801044;98.717000;422881944;64.182000;2024-03-21
03.014.553/0001-91;2023-12-31;5;137796;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;11299;57;26;18532521;42.119000;0;0.000000;18532521;42.119000;2024-05-16
03.025.305/0001-46;2023-12-31;1;127964;RODOVIAS DAS COLINAS S.A.;0;1;0;74220;12.167000;0;0.000000;74220;12.167000;2012-06-29
03.207.703/0001-83;2023-12-31;2;131260;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;0;2;0;0;0.000000;0;0.000000;0;0.000000;2016-04-29
03.220.438/0001-73;2023-12-31;15;137644;EQUATORIAL ENERGIA S.A.;63146;2460;0;1138106440;99.215000;0;0.000000;1138106440;99.215000;2023-05-26
03.279.285/0001-30;2023-12-31;13;137736;ORIZON MEIO AMBIENTE S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
03.303.999/0001-36;2023-12-31;2;137637;DTCOM - DIRECT TO COMPANY S.A.;579;6;0;225512;2.111000;0;0.000000;225512;2.026000;2021-04-30
03.342.704/0001-30;2023-12-31;15;136830;PETRORECÔNCAVO S.A.;29321;551;22;275628230;93.949000;0;0.000000;275628230;93.949000;2024-04-24
03.378.521/0001-75;2023-12-31;14;137859;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;18995;156;148;371832624;99.807000;0;0.000000;371832624;99.807000;2023-04-28
03.467.321/0001-99;2023-12-31;9;137724;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;248;63;9;4383194;5.803000;1063437;0.742000;5446631;2.488000;2023-04-26
03.494.776/0001-01;2023-12-31;3;136822;AMMO VAREJO S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
03.538.833/0001-07;2023-12-31;3;135944;XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A.;1;0;1;0;0.000000;0;0.000000;0;0.000000;2023-04-28
03.758.318/0001-24;2023-12-31;11;136579;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;0;1;3;143057124;100.000000;286114248;100.000000;429171372;100.000000;2023-04-28
03.767.538/0001-14;2023-12-31;4;133905;BRAZILIAN SECURITIES CIA SECURITIZACAO;0;1;0;0;0.000000;0;0.000000;0;0.000000;2021-04-29
03.795.050/0001-09;2023-12-31;3;135958;TERMOPERNAMBUCO S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-16
03.802.115/0001-98;2023-12-31;5;133891;CLEAR SALE S.A.;6373;57;129;55609742;29.591000;0;0.000000;55609742;29.591000;2022-12-31
03.818.379/0001-30;2023-12-31;3;131784;SABER SERVIÇOS EDUCACIONAIS S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
03.820.456/0001-96;2023-12-31;3;135201;BSB ENERGÉTICA S.A.;0;2;0;272565;9.000000;0;0.000000;272565;9.000000;2023-03-13
03.847.461/0001-92;2023-12-31;7;137283;BRADESPAR S.A.;192538;10726;399;30318991;21.972000;250992819;98.387000;281311810;71.563000;2024-05-13
03.853.896/0001-40;2023-12-31;13;135325;MARFRIG GLOBAL FOODS S.A.;121341;974;1275;331799687;35.601000;0;0.000000;331799687;35.601000;2023-09-28
03.953.509/0001-47;2023-12-31;5;136657;CPFL GERACAO DE ENERGIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-26
03.983.431/0001-03;2023-12-31;6;135695;EDP - ENERGIAS DO BRASIL S.A.;232178;591;732;240208565;41.376000;0;0.000000;240208565;41.376000;2023-04-11
04.030.182/0001-02;2023-12-31;3;135675;CABINDA PARTICIPACOES S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
04.031.213/0001-31;2023-12-31;3;130703;CACONDE PARTICIPACOES S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2022-04-29
04.032.433/0001-80;2023-12-31;8;134628;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;3976;38;12;9885953;37.012000;0;0.000000;9885953;37.012000;2023-04-28
04.038.763/0001-82;2023-12-31;3;130704;CAIANDA PARTICIPACOES S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-28
04.065.053/0001-41;2023-12-31;2;133304;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2023-10-02
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-11-06
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;1;1;3;121095230;64.404000;0;0.000000;121095230;64.404000;2023-04-28
04.089.570/0001-50;2023-12-31;3;136178;ÁGUAS GUARIROBA S.A;0;2;0;1;0.000000;0;0.000000;1;0.000000;2023-04-28
04.149.454/0001-80;2023-12-31;5;135938;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;29413;332;236;334032615;47.970000;0;0.000000;334032615;47.970000;2024-04-17
04.172.213/0001-51;2023-12-31;5;135828;CIA PIRATININGA DE FORCA E LUZ;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-04-26
04.200.649/0001-07;2023-12-31;14;130507;COMPANHIA PROVINCIA DE SECURITIZACAO;1;1;0;820000;100.000000;0;0.000000;820000;100.000000;2022-12-20
04.212.396/0001-91;2023-12-31;6;136490;AGASUS S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2023-01-10
04.233.319/0001-18;2023-12-31;7;135913;NCF PARTICIPAÇÕES S/A;0;3;0;0;0.000000;0;0.000000;0;0.000000;2023-04-14
04.368.865/0001-66;2023-12-31;5;136813;LIGGA TELECOMUNICAÇÕES S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2022-07-28
