CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Sudeste;74;2562;219;754;5;0;2
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Sul;4;426;19;95;0;0;0
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Centro-Oeste;14;397;99;423;2;0;3
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Exterior;0;0;0;0;0;0;0
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Nordeste;111;2523;1486;5438;25;0;400
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Norte;0;0;0;0;0;0;0
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Sudeste;55;3058;284;1040;7;0;24
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Sul;0;7;4;6;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Centro-Oeste;0;0;0;0;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Exterior;0;0;0;0;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Nordeste;0;0;0;0;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Norte;0;0;0;0;0;0;0
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Sudeste;0;1;0;0;0;0;1
01.104.937/0001-70;2023-12-31;1;127272;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Sul;0;0;0;0;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Centro-Oeste;0;68;6;20;0;0;103
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Exterior;0;0;0;0;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Nordeste;0;136;5;23;2;0;11
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Norte;0;0;0;0;0;0;0
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Sudeste;5;1314;187;425;6;0;84
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Sul;4;2628;174;288;14;0;48
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Centro-Oeste;13;444;146;647;5;0;6
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Exterior;0;0;0;0;0;0;0
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Nordeste;0;0;0;0;0;0;0
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Norte;0;3;2;1;0;0;0
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Sudeste;24;2043;385;987;11;0;5
01.258.944/0001-26;2023-12-31;6;137941;RUMO MALHA SUL S.A.;Sul;31;2621;183;732;14;0;11
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Exterior;0;0;0;0;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Nordeste;0;0;0;0;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Norte;0;0;0;0;0;0;0
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Sudeste;14;3583;811;1930;112;0;3
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Sul;0;0;0;0;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Exterior;0;0;0;0;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Nordeste;0;0;0;0;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Norte;0;0;0;0;0;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Sudeste;7;241;15;203;1;0;0
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Sul;0;1;0;1;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Exterior;0;0;0;0;0;0;2
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Nordeste;0;0;0;0;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Norte;0;0;0;0;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Sudeste;0;0;0;0;0;0;0
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Sul;0;0;0;0;0;0;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Centro-Oeste;0;53;2;27;0;14;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Exterior;0;0;0;0;0;0;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Nordeste;2;142;62;126;2;5;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Norte;0;44;3;42;0;1;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Sudeste;28;2341;511;1236;7;169;0
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Sul;5;567;49;130;0;63;0
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Centro-Oeste;27;382;143;507;2;0;16
