CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Codigo_Conta;Descricao_Conta;Valor;Informacao_Financeira;Tipo_Moeda;Escala_Moeda
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2019-07-01;2020-06-30;b;Ativo Total;2044368000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2019-07-01;2020-06-30;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;487568000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2019-07-01;2020-06-30;d;Resultado Bruto;221393000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2019-07-01;2020-06-30;e;Resultado Líquido;119554000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2019-07-01;2020-06-30;f;Número de Ações, Ex-Tesouraria;59342481.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2019-07-01;2020-06-30;g;Valor Patrimonial da Ação (Reais Unidade);18.89993400;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2019-07-01;2020-06-30;h;Resultado Básico por Ação;2.10920000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2019-07-01;2020-06-30;i;Resultado Diluído por Ação;2.09000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2020-07-01;2021-06-30;a;Patrimônio Líquido;2182601000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2020-07-01;2021-06-30;b;Ativo Total;3428318000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2020-07-01;2021-06-30;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;662952000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2020-07-01;2021-06-30;d;Resultado Bruto;491524000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2020-07-01;2021-06-30;e;Resultado Líquido;317646000.00000000;Consolidado;Real;Unidade
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;2020-07-01;2021-06-30;f;Número de Ações, Ex-Tesouraria;99192000.00000000;Consolidado;Real;Unidade
