CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Acionista;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes;Percentual_Acoes
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105330;Preferencial Classe B;4318334;48.177000
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105338;Preferencial Classe B;355;0.004000
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105342;Preferencial Classe B;741;0.008000
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105347;Preferencial Classe B;8963396;100.000000
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105347;Ordinária Classe B;26590906;100.000000
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105347;Preferencial Classe A;18686075;100.000000
02.281.836/0001-37;2023-12-31;1;127674;TRANSNORDESTINA LOGISTICA SA;7105347;Ordinária Classe A;1722716;100.000000
02.302.101/0001-42;2023-12-31;9;135805;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;7353785;Ordinária Classe A;14353442;100.000000
02.302.101/0001-42;2023-12-31;9;135805;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;7353785;Preferencial Classe A;50981;100.000000
02.302.101/0001-42;2023-12-31;9;135805;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;7353791;Ordinária Classe A;14353442;100.000000
02.302.101/0001-42;2023-12-31;9;135805;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;7353791;Preferencial Classe A;50981;100.000000
02.351.144/0001-18;2023-12-31;9;135755;TEGMA GESTAO LOGISTICA S.A.;7352635;Ordinária Classe A;65143;100.000000
02.351.144/0001-18;2023-12-31;9;135755;TEGMA GESTAO LOGISTICA S.A.;7352637;Ordinária Classe A;65143;100.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116705;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116706;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116707;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116708;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116709;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116710;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116711;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116712;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116713;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116714;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116715;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116716;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116717;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116718;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116719;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116720;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116721;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116722;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116723;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116724;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116725;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116726;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116727;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116728;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116729;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116730;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116731;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116732;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116733;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116734;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116740;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116744;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116787;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116791;;0;0.000000
02.415.408/0001-50;2023-12-31;1;127886;CONC ROD.OESTE SP VIAOESTE S.A;7116792;;0;100.000000
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;7349339;Ordinária Classe A;12247;100.000000
02.421.421/0001-11;2023-12-31;8;135622;TIM S.A.;7349341;Ordinária Classe A;12247;100.000000
02.429.144/0001-93;2023-12-31;6;137649;CPFL ENERGIA S.A.;7389697;Ordinária Classe A;730435698;100.000000
02.429.144/0001-93;2023-12-31;6;137649;CPFL ENERGIA S.A.;7389733;Ordinária Classe A;730435698;100.000000
02.451.848/0001-62;2023-12-31;2;135880;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;7356019;;0;0.000000
02.451.848/0001-62;2023-12-31;2;135880;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;7356020;;0;0.000000
02.451.848/0001-62;2023-12-31;2;135880;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;7356021;;0;0.000000
02.451.848/0001-62;2023-12-31;2;135880;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;7356022;;0;0.000000
02.451.848/0001-62;2023-12-31;2;135880;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;7356023;;0;0.000000
02.451.848/0001-62;2023-12-31;2;135880;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;7356024;;0;0.000000
02.451.848/0001-62;2023-12-31;2;135880;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;7356028;;0;0.000000
02.451.848/0001-62;2023-12-31;2;135880;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;7356029;;0;0.000000
02.451.848/0001-62;2023-12-31;2;135880;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;7356030;;0;0.000000
02.451.848/0001-62;2023-12-31;2;135880;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;7356070;;0;0.000000
02.451.848/0001-62;2023-12-31;2;135880;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;7356071;;0;0.000000
