CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Data_Encerramento;Variacao_Percentual_Valor_Contabil;Variacao_Percentual_Valor_Mercado;Valor_Montante_Dividendos_Recebidos
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758585;2023-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758585;2022-06-30;20.88190000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758585;2021-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758585;2020-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758586;2023-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758586;2022-06-30;48.81565400;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758586;2021-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758586;2020-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758587;2023-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758587;2022-06-30;5.44411200;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758587;2021-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758587;2020-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758588;2023-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758588;2022-06-30;-79.52372000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758588;2021-06-30;0.00000000;0.00000000;0.00
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;758588;2020-06-30;0.00000000;0.00000000;0.00
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;745783;2023-03-31;0.00000000;0.00000000;0.00
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;745783;2022-03-31;74.21620000;0.00000000;0.00
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;745783;2021-03-31;168.61600000;0.00000000;0.00
08.322.396/0001-03;2023-03-31;4;130511;CERRADINHO BIOENERGIA S.A.;745783;2020-03-31;2194.09050000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746434;2023-03-31;0.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746434;2022-03-31;100.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746434;2021-03-31;0.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746434;2020-03-31;0.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746435;2023-03-31;0.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746435;2022-03-31;100.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746435;2021-03-31;0.00000000;0.00000000;0.00
33.453.598/0001-23;2023-03-31;17;130598;RAÍZEN S.A.;746435;2020-03-31;0.00000000;0.00000000;0.00
